文物采样?二氧化硅(SiO2),氧化?Na2O),氧化?K2O),氧化?CaO),氧化?MgO),氧化?Al2O3),氧化?Fe2O3),氧化?CuO),氧化?PbO),氧化?BaO),五氧化二?P2O5),氧化?SrO),氧化?SnO2),二氧化硫(SO2),玻璃类型,是否风化,
2,36.28,0,1.05,2.34,1.18,5.73,1.86,0.26,47.43,0,3.57,0.19,0,0,2,2
7,92.63,0,0,1.07,0,1.98,0.17,3.24,0,0,0.61,0,0,0,1,2
8,20.14,0,0,1.48,0,1.34,0,10.41,28.68,31.23,3.59,0.37,0,2.58,2,2
08严重风化?4.61,0,0,3.19,0,1.11,0,3.14,32.45,30.62,7.56,0.53,0,15.03,2,2,
9,95.02,0,0.59,0.62,0,1.32,0.32,1.55,0,0,0.35,0,0,0,1,2
10,96.77,0,0.92,0.21,0,0.81,0.26,0.84,0,0,0,0,0,0,1,2
11,33.59,0,0.21,3.51,0.71,2.69,0,4.93,25.39,14.61,9.38,0.37,0,0,2,2
12,94.29,0,1.01,0.72,0,1.46,0.29,1.65,0,0,0.15,0,0,0,1,2
19,29.64,0,0,2.93,0.59,3.57,1.33,3.51,42.82,5.35,8.83,0.19,0,0,2,2
22,92.35,0,0.74,1.66,0.64,3.5,0.35,0.55,0,0,0.21,0,0,0,1,2
26,19.79,0,0,1.44,0,0.7,0,10.57,29.53,32.25,3.13,0.45,0,1.96,2,2
26严重风化?3.72,0,0.4,3.01,0,1.18,0,3.6,29.92,35.45,6.04,0.62,0,15.95,2,2,
27,92.72,0,0,0.94,0.54,2.51,0.2,1.54,0,0,0.36,0,0,0,1,2
34,35.78,0,0.25,0.78,0,1.62,0.47,1.51,46.55,10,0.34,0.22,0,0,2,2
36,39.57,2.22,0.14,0.37,0,1.6,0.32,0.68,41.61,10.83,0.07,0.22,0,0,2,2
38,32.93,1.38,0,0.68,0,2.57,0.29,0.73,49.31,9.79,0.48,0.41,0,0,2,2
39,26.25,0,0,1.11,0,0.5,0,0.88,61.03,7.22,1.16,0.61,0,0,2,2
40,16.71,0,0,1.87,0,0.45,0.19,0,70.21,6.69,1.77,0.68,0,0,2,2
41,18.46,0,0.44,4.96,2.73,3.33,1.79,0.19,44.12,9.76,7.46,0.47,0,0,2,2
43部位1,12.41,0,0,5.24,0.89,2.25,0.76,5.35,59.85,7.29,0,0.64,0,0,2,2
43部位2,21.7,0,0,6.4,0.95,3.41,1.39,1.51,44.75,3.26,12.83,0.47,0,0,2,2
48,53.33,0.8,0.32,2.82,1.54,13.65,1.03,0,15.71,7.31,1.1,0.25,1.31,0,2,2
49,28.79,0,0,4.58,1.47,5.38,2.74,0.7,34.18,6.1,11.1,0.46,0,0,2,2
50,17.98,0,0,3.19,0.47,1.87,0.33,1.13,44,14.2,6.34,0.66,0,0,2,2
51部位1,24.61,0,0,3.58,1.19,5.25,1.19,1.37,40.24,8.94,8.1,0.39,0.47,0,2,2
51部位2,21.35,0,0,5.13,1.45,2.51,0.42,0.75,51.34,0,8.75,0,0,0,2,2
52,25.74,1.22,0,2.27,0.55,1.16,0.23,0.7,47.42,8.64,5.71,0.44,0,0,2,2
54,22.28,0,0.32,3.19,1.28,4.15,0,0.83,55.46,7.04,4.24,0.88,0,0,2,2
54严重风化?17.11,0,0,0,1.11,3.65,0,1.34,58.46,0,14.13,1.12,0,0,2,2,
56,29.15,0,0,1.21,0,1.85,0,0.79,41.25,15.45,2.54,0,0,0,2,2
