pw1,pw2,pw3,pw4,pw5,pw6,pw7,pw8,pw9,pw10
59,62,60,53.14315981,48.68445014,42.97781818,52.70420927,61.94644655,47.6121111,54.22979945
71,72,71,64.13432083,59.73089484,54.46405194,63.74383388,73.43356529,58.12331884,65.29222062
52,57,53,46.81410213,42.28732008,35.97781818,46.31789723,54.94644655,41.58969561,47.77036442
61,58,63,53.46822955,49.22652569,45.49158441,53.20983283,64.4593278,47.19056529,55.0051184
84,81,85,76.13033288,71.87584032,67.97781818,75.8631454,86.94644655,69.67935755,77.60810454
53,55,55,47.14558533,42.73370054,37.49158441,46.74405273,56.4593278,41.63452658,48.35653082
78,73,77,68.78359722,64.57159966,60.95028571,68.55608257,79.92068403,61.67935755,70.27351186
77,79,77,70.46979199,66.03232981,60.46405194,70.05067786,79.43356529,64.6121111,71.56250311
49,51,50,42.80768866,38.38301517,32.97781818,42.39736529,51.94644655,37.12331884,43.95951697
82,80,81,73.79001069,69.47590457,64.95028571,73.47661451,83.92068403,67.14573432,75.08435931
64,66,65.15826382,55,53.82391309,47.00973204,56.76209549,68.08333333,51.10514601,64.33333333
60,62,62.76064552,56,49.82391309,45.48847866,54.38932028,64.08333333,49.61244522,65.33333333
57,54,58.07585907,53,44.50273509,42.48847866,49.80521517,61.08333333,44.11974444,62.33333333
67,71,70.4345601,63,57.75238429,52.48847866,62.02296232,71.08333333,57.60952554,72.33333333
87,86,88.42929731,82,75.43120629,71.99272934,80.11341226,91.08333333,74.61536491,91.33333333
58,61,60.45665013,52,48.28814869,42.49698001,52.05525138,62.08333333,47.1080657,61.33333333
70,68,73.01519806,71,57.96697069,57.96722528,64.74926098,74.08333333,60.12558381,80.33333333
58,61,60.13617379,51,48.28814869,42.00123069,51.72980642,62.08333333,46.60660585,60.33333333
69,66,67.83252469,58,56.50273509,51.01823339,59.52710047,73.08333333,52.60952554,67.33333333
66,64,65.16948198,55,53.96697069,48.01823339,56.84392149,70.08333333,50.1080657,64.33333333
68,71.09598285,70,62.63135475,57,52.07931412,61.79864809,71.05647593,56.80288822,70.8
62,65.09598285,64,56.63135475,51,46.07931412,55.79864809,65.05647593,50.80288822,64.8
55,58.09598285,57,49.63135475,44,39.07931412,48.79864809,58.05647593,43.80288822,57.8
69,70.78564001,69,62.61440364,56,51.70563954,61.46406285,70.6921781,55.80288822,69.8
74,76.44081143,75,68.12287919,62,57.39247683,67.13135547,76.37432702,61.80288822,75.8
62,63.13046859,61,55.10592809,48,44.01880225,53.79677023,63.01002919,47.80288822,61.8
71,72.78564001,71,64.61440364,58,53.70563954,63.46406285,72.6921781,57.80288822,71.8
66,69.09598285,68,60.63135475,55,50.07931412,59.79864809,69.05647593,54.80288822,68.8
61,63.44081143,62,55.12287919,49,44.39247683,54.13135547,63.37432702,48.80288822,62.8
62,64.44081143,63,56.12287919,50,45.39247683,55.13135547,64.37432702,49.80288822,63.8
59,61.47874125,59.82755887,51,47.73579788,40,51.40791438,61.05497202,46.01666667,59.88813382
55,58.45592612,58.09058963,49,46.22268305,41,49.69040716,59.51856876,44.01666667,59.42920905
60,61.99014882,61.7852065,51,50.72530601,45,53.40228716,64.02584941,46.01666667,62.45659254
67,71.92170343,71.07456307,64,58.22268305,53,62.64997038,71.51856876,59.01666667,72.88813382
69,73.43311099,74.67503009,65,63.20694525,61,66.30145675,76.47488484,60.01666667,77.48397602
64,68.92170343,68.71738246,61,56.21743712,52,60.30708397,69.50400745,56.01666667,70.91551731
56,55.54718665,53.89538292,42,43.24366677,34,45.50311757,56.57681398,37.01666667,52.42920905
55,63.34185047,58.47781383,59,41.74628974,32,49.93194005,55.08409464,54.01666667,59.66906593
46,46.52437151,44.22995551,34,32.74628974,23,35.81426958,46.08409464,29.01666667,42.88813382
54,59.8988883,57.44490658,53,43.23317491,36,48.975452,56.54769137,48.01666667,58.80598336
71,72.95626124,72.02086574,64.8499745,58,53.84119843,63,72.83115533,58.03479513,72.28513935
70,71.95003701,71.02415271,63.3499654,58,52.86174286,61,71.84312229,56.91317792,71.29841525
51,51.99005084,51.02262753,43.84995629,37,32.8191514,41,51.81351105,36.47398652,50.7917773
52,53.95626124,53.02086574,45.8499745,39,34.84119843,44,53.83115533,39.03479513,53.28513935
63,64.95626124,64.02086574,56.8499745,50,45.84119843,55,64.83115533,50.03479513,64.28513935
72,72.66590597,71.69097712,64.34994719,58,53.48531721,61,72.47828528,56.91317792,71.29841525
47,50.24039228,49.35404134,41.84999272,36,31.21762408,41,50.19599234,36.03479513,50.28513935
76,77.95003701,77.02415271,69.3499654,64,58.86174286,67,77.84312229,62.91317792,77.29841525
69,71.59832676,70.68745354,63.34998361,57,52.52941125,62,71.51357384,57.03479513,71.28513935
56,57.30797149,56.35756492,48.84995629,43,38.17353003,46,57.16070378,41.91317792,56.29841525
59,63.06666667,62.16471912,53.70797834,49.71838827,43,53.74424043,64,50.18333333,63.46112978
60,64.06666667,64.08370857,57.62033351,51.70883566,50,55.68339042,62,48.18333333,66.05940779
54,58.06666667,54.54504889,47.25180076,42.05751811,35,46.11557681,54,40.18333333,54.48296934
69,73.06666667,72.53606112,62.25180076,60.05610553,50,64.10508414,78,64.18333333,73.88469134
66,70.06666667,66.61006108,56.82483812,54.06508624,42,58.16337053,71,57.18333333,66.37377156
57,61.06666667,59.18071748,51.22258582,46.72037276,40,50.75729673,60,46.18333333,59.97204956
52,56.06666667,55.07370205,50.10572604,42.7077929,43,46.67732923,50,36.18333333,56.61400668
65,69.06666667,67.16771504,59.70797834,54.71885913,49,58.74773799,67,53.18333333,67.99388912
67,71.06666667,67.82537383,62.19337087,55.38463999,52,59.40950932,64,50.18333333,68.05940779
61,65.06666667,65.78738526,57.16415593,53.3797293,48,57.37640161,68,54.18333333,67.97204956
83.85727504,88,87,76.46655287,72.37236106,68.9,75.97684785,84.05975372,66,80.31666667
67.85727504,72,71,61.11679241,56.9299538,52.9,60.63615131,69.0055706,52,66.31666667
44.88549612,47,50,41.04773228,36.54805676,31.9,40.68475435,51.31592969,38,52.31666667
56.82905397,63,58,50.11193049,45.8210182,39.9,49.55441388,56.95138748,41,55.31666667
74.36433031,78,78,68.43080732,64.15417864,59.9,67.98071501,76.95138748,61,75.31666667
50.87138558,54,55,49.32113972,44.44516356,36.9,48.95144776,60.09919721,51,65.31666667
46.85727504,51,50,39.1414331,35.09356469,31.9,38.64719611,46.58684527,28,42.31666667
67.84316451,73,70,63.39019985,58.8270606,51.9,62.90284473,71.78883813,59,73.31666667
87.88549612,90,93,82.42213342,78.1540749,74.9,82.03649568,91.95138748,76,90.31666667
66.35021977,71,69,62.05397522,57.49369269,50.9,61.58810495,70.78883813,58,72.31666667
61.73651886,63,66.2831145,60,52.81357281,49.86666667,57.99313212,69.81666667,56,69.81026551
55.84498078,60,59.35174047,51,47.08100857,40.86666667,50.94460617,60.81666667,47,60.81026551
62.80882681,66,63.06166596,59,48.98216221,48.86666667,54.54690553,57.81666667,44,63.47509198
58.29074982,61,61.00814293,55,47.62558119,44.86666667,52.60624759,60.81666667,47,62.87020241
65.77267283,68,69.97265649,63,56.90271806,52.86666667,61.64362347,72.81666667,59,72.81026551
73.80882681,77,75.69827165,70,62.25929907,59.86666667,67.25018248,73.81666667,60,76.90017086
63.66421092,63,64.64885573,64,48.71472645,53.86666667,56.26362934,60.81666667,47,67.50506042
38.70036489,39,41.95696682,38,27.44729069,27.86666667,33.63936382,42.81666667,29,45.38518663
63.32690379,67,68.64357516,59,56.81357281,48.86666667,60.32263745,73.81666667,60,71.23534439
44.77267283,47,47.3360508,42,33.62558119,31.86666667,38.94034652,46.81666667,33,49.38518663
69.77435812,75,72.99385181,65.32822076,60,54.32524877,64,73.2918128,60.08142096,73.7917773
61.10248443,67,64.32360501,56.83488658,51,45.32524877,55,64.2918128,51.4333501,64.7917773
79.75133988,88,82.9793937,75.86154988,69,62.8401747,72,81.80058085,70.12569381,82.29841525
63.43061075,70,66.6533582,59.34155241,53,47.32524877,57,66.2918128,53.78527924,66.7917773
53.46925004,55,56.67855671,48.28822582,45,39.81032283,50,58.78304475,43.68521897,59.28513935
63.14934759,63,66.35582623,57.27489418,56,50.32524877,60,69.2918128,53.26598784,69.7917773
69.10165775,75,72.32029999,65.32822076,58,53.2953969,64,72.27427671,59.51216667,72.77850141
64.41581638,73,67.64592281,60.3682157,54,47.35510063,56,66.30934889,54.7622501,66.80505319
75.11810549,79,78.33434541,70.31488911,66,60.32524877,70,79.2918128,65.37756268,79.7917773
67.78997917,71,71.00459221,62.80822329,59,53.32524877,63,72.2918128,58.02563354,72.7917773
66.10150626,68,69.83699936,61.05142978,59,53.33333333,61.51154295,72.07595354,58,72.57058127
54.06437687,59,57.1763216,49.59340814,44,38.33333333,48.72618536,57.53949794,44,58.04524071
60.5705651,65,64.79845487,57.55982545,51,45.33333333,56.39935274,65.93013115,54,66.46921904
70.07675333,74,71.90514917,63.11859516,61,55.33333333,63.45198783,72.22177593,56,72.6719435
67.54581218,74,69.86660468,62.62699083,56,50.33333333,61.33979762,69.07595354,55,69.57058127
63.03962395,70,66.8011543,60.59340814,51,45.33333333,58.29974463,66.39367555,55,66.94387848
66.55818864,72,72.0696273,66.03463843,56,50.33333333,63.67355027,73.24785315,64,73.84251625
75.62007095,76,77.59003339,67.08501247,70,64.33333333,69.2648163,79.83114273,62,80.24796517
58.58294156,62,61.52728244,53.08501247,50,44.33333333,53.12515521,62.61240914,48,63.09592183
71.55818864,77,71.95626153,63.16896919,61,55.33333333,63.4073215,70.83114273,53,71.24796517
76.46146396,82.23347282,78,77,64.62546567,58,71.18703828,77.95495993,68.46541852,81.77859988
74.41651233,77.34814518,77,68,66.1023104,62,69.27119042,79.35418818,63.54340682,79.45659254
66.06899909,69.31947709,68,61,57.1023104,53,60.91075719,70.35418818,55.52390975,71.42920905
67.40848677,71.290809,69,64,57.60694145,53,62.22184012,70.87434253,57.50441267,72.88813382
60.7824886,65.290809,63,58,50.61620356,45,55.56487243,63.91465123,51.50441267,65.86075034
60.53049227,66.290809,64,59,49.63472778,42,55.25093705,62.99526863,52.50441267,64.80598336
62.74797445,67.26214091,64,61,52.11157251,47,57.53292304,65.39449688,53.4849156,68.34705859
57.63921324,60.74780686,57,55,47.58841724,45,52.49512565,60.79372513,46.97516706,64.40182557
56.81700276,61.31947709,60,53,47.12083462,41,51.59682181,60.43480558,47.52390975,61.37444208
64.76121874,69.74780686,66,64,53.61620356,48,59.52422258,66.91465123,55.97516706,70.31967511
58.50684734,62.61576533,60,56,48.27305435,43.64141586,53,61.57589723,48.81788203,64.04880865
62.10193435,66.33519281,64,62,50.77717455,47.24088103,54,64.07399721,52.46564805,67.53013281
69.41394217,73.66775966,71,70,57.77717455,54.55695501,61,71.07399721,59.79175538,75.02639764
64.88487144,68.98759397,68,61,55.27580115,50.00473875,59,68.57463055,55.16992763,69.55254382
71.50888709,75.65272767,74,69,61.27580115,56.6368867,65,74.57463055,61.82214228,76.54507348
49.75895813,54.0199574,52,50,38.27854794,34.89665344,41,51.57336387,40.13083185,55.02639764
56.53985548,60.63539622,59,53,46.77442775,41.66504031,51,60.07526389,46.83085116,61.55254382
63.75691838,67.98299507,65,64,52.27580115,48.9011826,56,65.57463055,54.12657159,69.53013281
65.8518633,69.96796307,68,63,55.77442775,50.98111429,60,69.07526389,56.15695849,71.04880865
56.2298874,60.33979171,60,52,46.77717455,41.34443718,50,60.07399721,46.50900409,60.55254382
71.24992662,74.57448578,74,65.74660543,62.07782996,56.39002308,65,77,61.52501983,76.13905436
71.34293035,76.04679587,75,67.23813898,62.0881182,56.43927988,67,74,61.60248103,75.64386229
65.31057013,69.51910595,68,60.72967253,56.08346343,50.42585031,61,69,55.57377634,70.1429007
61.96780903,66.04679587,65,57.23813898,52.74980386,47.08505109,57,66,52.23375907,66.64193912
59.15488442,61.04679587,60,52.23813898,50.06570368,44.34525032,52,68,49.44323221,65.13520802
46.18724465,48.57448578,48,39.74660543,37.07035845,31.35867989,39,54,36.47193689,51.63616961
61.24992662,64.57448578,64,55.74660543,52.07782996,46.39002308,55,67,51.52501983,66.13905436
68.00016926,72.57448578,72,63.74660543,58.75445863,53.09848066,63,71,58.26246375,72.1429007
71.34496882,76.1021757,76,67.25507188,62.08995624,56.43479583,66,74,61.60680746,75.1429007
61.59472619,65.1021757,65,56.25507188,52.41332756,46.72633825,55,67,51.86936354,66.13905436
43.06488947,47.53521277,46.49566704,38.71574387,34.02185355,28.17882375,38,47,34,47.85604276
73.97233229,76.53521277,76.81955775,67.71574387,64.48305177,59.12484144,67,80,63,78.21877961
63.01861088,64.52111703,64.86179262,55.72266482,52.68728948,48.15183259,57,68,49,66.26813652
85.97233229,88.03168883,88.49560281,79.21747411,76.21676098,71.12484144,79,92,74,89.90146094
58.06488947,67.06692818,64.41126154,58.20017174,51.41847071,43.17882375,53,62,58,65.71191075
65.4029144,66.53521277,67.81247578,57.71574387,55.57895044,50.58435471,57,73,53,69.24083224
65.63430735,68.01054522,67.23506441,59.22785553,55.06191931,50.71931048,62,68,51,68.61275947
60.06488947,65.0387367,63.81962199,56.21401364,51.28814434,45.17882375,55,64,52,65.17336143
76.92605369,81.05283244,81.10127782,72.20709269,68.54510486,62.09785029,69,84,70,82.48674136
55.54175017,62.05283244,60.44641444,53.20709269,47.71860708,40.66532817,50,60,51,61.7833203
62.59754576,67.28333333,65.80009329,60.66666667,54,48.66056445,58.27491399,66,53.78381798,70
54.55003946,58.28333333,57.77430874,50.66666667,45,39.95422383,49.62943928,59,45.14697309,60
57.59754576,62.28333333,60.80009329,56.66666667,49,43.99482879,53.59019706,61,49.12996989,66
58.07379261,62.28333333,61.28720102,63.66666667,49,46.64864098,56.13208273,62,51.9076868,73
52.12129891,57.28333333,55.31298556,50.66666667,44,38.3466026,47.94000981,55,43.42916447,60
56.50253316,59.28333333,59.74852419,44.66666667,46,39.24229721,49.09226614,62,44.43321671,54
77.45502686,79.28333333,80.72273964,71.66666667,66,62.21007125,71.96905599,84,67.56558713,81
78.02628631,81.28333333,81.26141647,69.66666667,68,61.93112835,71.70321117,83,67.11701894,79
74.50253316,77.28333333,77.74852419,67.66666667,64,58.91361888,68.66868149,80,64.16397628,77
61.02628631,64.28333333,64.26141647,45.66666667,51,42.59127802,52.49622969,66,47.69395555,55
85.52694735,89.28333333,88.7514288,79.36602126,76,71,79.344238,88.60455479,73.98146515,87
58.52694735,62.28333333,61.7514288,50.32681501,49,44,51.07083328,60.3082093,44.83593918,56
83.52694735,87.28333333,86.7514288,76.34641814,74,69,76.70753564,85.95638205,70.90870216,83
53.06152633,57.28333333,56.2742856,47.89542594,44,38,47.65250841,56.93473258,43.05422814,57
42.59610531,47.28333333,45.79714241,36.38562438,34,27,36.68737411,45.96856488,31.98146515,45
71.52694735,75.28333333,74.7514288,64.8562197,62,57,65.02588682,74.28046842,59.44508366,72
66.38863143,68.28333333,69.66000157,59.30721189,55,54,59.02126341,68.22836188,51.90870216,64
54.99236837,58.28333333,58.22857199,48.34641814,45,41,48.35431876,57.59846338,42.44508366,55
66.78489449,67.28333333,70.09143115,59.77780721,54,56,59.00655925,68.18234675,50.90870216,63
61.52694735,65.28333333,64.7514288,57.91502906,52,47,56.93599389,66.22498666,52.66337262,68
76.96553113,,80.17685696,69.4052275,66.89658313,59,70.92714972,84,67.46669408,79
74.00897719,,77.21676212,65.93463218,64.21838174,54,68.27012652,83,65.97275967,77
77.47639265,,80.68683325,72.97383842,69.46888526,59,73.53299874,85,71.43030054,86
49.43294659,,52.64692808,45.44443374,41.14708665,33,45.19002195,55,41.92423495,57
83.81346994,,87.03718888,80.8562197,74.52311816,73,78.50442318,84,71.91210377,88
69.36777751,,72.58707034,66.4052275,60.82373692,56,64.83716514,72,59.91210377,76
40.41122356,,43.6269755,34.89542594,30.87074995,25,34.88727485,45,30.44243172,44
71.87863902,,75.09704663,65.34641814,61.2529859,58,65.24119613,75,59.4545629,72
44.92208508,,48.13695179,38.89542594,35.21217731,29,39.23060647,50,34.94849731,48
49.856916,,53.07709405,43.32681501,38.93273839,37,42.90809935,52,36.4545629,49
68.45052279,71.26666667,71.70360438,63.38821319,58.96154198,55,62,72.21837379,57.56966021,72
74.31465614,75.26666667,77.62202084,71.0266459,66.5415153,63,66,79.80318278,64.89714381,83
80.1203561,85.26666667,83.3055838,78.12362337,73.49149502,64,76,86.90548021,74.89714381,93
55.91655613,58.26666667,59.1832085,51.38168567,46.93597848,43,49,60.19660965,45.52036981,61
67.38258947,69.26666667,70.66281261,61.36241488,57.0037789,55,60,70.20603878,54.61895061,68
65.45052279,68.26666667,68.70360438,63.07187088,58.50372341,52,59,71.84344942,58.37249861,77
73.98448945,77.26666667,77.22400026,69.73656955,65.25819619,60,68,78.55267574,64.52036981,80
72.24672282,72.26666667,75.58122908,69.00721923,64.53707026,62,63,77.77525114,62.37249861,81
54.31465614,55.26666667,57.62202084,50.35573147,45.90596994,43,46,59.14691387,43.94643421,61
69.05242278,73.26666667,72.26479203,62.74325295,58.35600516,54,64,71.61180066,57.1928862,69
72.75,78.76907745,77.95654988,68,65.65437401,58.2156538,69.11710265,79.11954709,67,78
40.75,44.80849758,43.9583408,36,25.72390709,20.45736611,32.13220974,39.53768669,31,35
84.75,87.82820765,86.95923625,80,71.09287873,66.5512889,76.77674397,84.60785275,73,83
59.75,62.82820765,61.95923625,55,43.28540236,38.93388541,50.1257015,57.04938104,48,53
66.75,68.84791771,67.96013171,62,49.96988818,46.45736611,56.77961026,63.58446407,53,61
66.75,77.18038216,76.45252033,62,62.47792599,51.1686924,65.50003449,76.49090932,70,70
69.75,71.84791771,70.96013171,65,52.96988818,49.45736611,59.77961026,66.58446407,56,64
54.75,57.82820765,56.95923625,50,48.95381257,43.88001869,51.39966288,61.77157356,43,67
71.75,74.33806268,73.45968398,67,59.33885983,55.121731,64.42921958,72.65463012,59,73
62.75,63.37748281,62.46147489,58,50.83082202,48.2156538,55.39745407,63.74818487,46,68
62.91666667,64.8,65.05336418,55.32906539,51.87511366,46.22852324,55.85817158,67,51,64
71.91666667,80.8,77.5158607,69.34141593,63.8435113,56.77550332,68.15286213,76,67,76
51.91666667,63.8,58.99978778,56.81362721,48.87207023,42.96342363,53.03645488,56,50,68
48.91666667,53.8,52.53729126,47.31053957,41.8518838,36.86946348,45.76972122,53,40,59
46.91666667,59.8,54.49443014,47.84450357,40.99050515,33.3224834,45.45213235,51,46,54
69.91666667,84.8,78.48371486,68.86920466,62.43453012,53.22852324,67.1716597,74,71,71
53.91666667,61.8,59.02121834,54.81362721,48.37448012,42.90078353,52.41317029,58,48,66
69.91666667,79.8,76.01050306,68.34141593,62.46790883,55.29116335,66.80868328,74,66,75
70.91666667,80.8,77.01050306,70.33524066,64.16910135,57.3224834,68.45671201,75,67,78
64.91666667,55.8,61.61229822,48.81362721,48.75972216,45.13456309,52.26421081,69,42,60
